Unnamed: 0,Stage Name,Full Name,Korean Name,Korean Stage Name,Date of Birth,Group,Country,Second Country,Gender,Profile,Stage Name.1,Full Name.1,Korean Name.1,Korean Stage Name.1,Date of Birth.1,Group.1,Country.1,Second Country.1,Gender.1,Birth Year
,Eli,Ellison Kim,엘리슨 킴,일라이,1991-03-13,U-KISS,USA,South Korea,M,,,,,,,,,,,
,Kevin,Christopher Woo,크리스토퍼 우,케빈,1991-11-25,U-KISS,USA,South Korea,M,,,,,,,,,,,
,Benji,Baek Jaewook,배제욱,벤지,1992-05-03,B.I.G,USA,South Korea,M,,,,,,,,,,,
Profile,Vivi,Wong Viian,황가희,비비,1996-12-09,Loossemble,Hong Kong,,F,,,,,,,,,,,
,Hui,Liang Hui,양휘,양휘,1995-07-18,24K,China,,M,,,,,,,,,,,
Profile,Mark,Mark Yien Tuan,마크 이엔 투안,마크,1993-09-04,GOT7,USA,Taiwan,M,,,,,,,,,,,
Profile,Jackson,Jackson Wang,잭슨 왕,잭슨,1994-03-28,GOT7,Hong Kong,,M,,,,,,,,,,,
Profile,BamBam,Kunpimook Bhuwakul,꾼삐묵 부와꾼,뱀뱀,1997-05-02,GOT7,Thailand,,M,,,,,,,,,,,
,Lai Kuanlin,Lai Kuanlin,라이관린,라이관린,2001-09-23,Wanna One,Taiwan,,M,,,,,,,,,,,
,U,Mizuguchi Yuto,미즈구치 유토,유,1999-03-16,ONF,Japan,,M,,,,,,,,,,,
,Rui,Watanabe Rui,와타나베 루이,루이,1994-10-08,H.U.B,Japan,,F,,,,,,,,,,,
,Damon,Hu Boohan,후보한,데이먼,1996-07-02,VARSITY,China,,M,,,,,,,,,,,
,Xin,Wang Xinwi,왕씬위,씬,1996-11-10,VARSITY,China,,M,,,,,,,,,,,
,Jaebin,Deung Bin,등빈,재빈,1997-02-13,VARSITY,China,,M,,,,,,,,,,,
,Anthony,Anthony Lo,엔써니 루오,엔써니,1998-03-12,VARSITY,China,USA,M,,,,,,,,,,,
,Manny,Syo Dongchun,쇼동청,만니,2001-11-17,VARSITY,China,,M,,,,,,,,,,,
,Kenta,Takada Kenta,타카다 켄타,켄타,1995-01-10,JBJ,Japan,,M,,,,,,,,,,,
,Longguo,Jin Longguo,진룽궈,룽궈,1996-03-02,JBJ,China,,M,,,,,,,,,,,
,Yua,Mikami Yua,미카미 유아,유아,1993-08-16,Honey Popcorn,Japan,,F,,,,,,,,,,,
,Miko,Matsuda Miko,마츠다 미코,미코,1995-10-28,Honey Popcorn,Japan,,F,,,,,,,,,,,
,Moko,Sakura Moko,사쿠라 모코,모코,1991-03-19,Honey Popcorn,Japan,,F,,,,,,,,,,,
,Kun,Qian Kun,첸쿤,쿤,1996-01-01,NCT,China,,M,,,,,,,,,,,
,Lucas,Wong Junghei,웡육헤이,루카스,1999-01-25,,Hong Kong,,M,,,,,,,,,,,
Profile,Kevin,Moon Hyungseo,문형서,케빈,1998-02-23,The Boyz,Canada,South Korea,M,,,,,,,,,,,
Profile,Bang Chan,Bang Chan,방찬,방찬,1997-10-03,Stray Kids,Australia,South Korea,M,,,,,,,,,,,
,Kriesha Chu,Kriesha Ziskind Teo Tiu,크리샤 지스킨드 테오 티우,크리샤 츄,1998-12-20,,Philippines,,F,,,,,,,,,,,
Profile,Minnie,Nicha Yontararak,니차 욘타라락,민니,1997-10-23,(G)I-DLE,Thailand,,F,,,,,,,,,,,
Profile,Yuqi,Song Yuqi,송우기,우기,1999-09-23,(G)I-DLE,China,,F,,,,,,,,,,,
Profile,Shuhua,Yeh Shuhua,예슈화,슈화,2000-01-06,(G)I-DLE,Taiwan,,F,,,,,,,,,,,
,Miya,Miyauchi Haruka,미야우치 하루카,미야,1993-05-26,GWSN,Japan,,F,,,,,,,,,,,
,Soso,Wang Chingyi,왕징이,소소,2001-03-14,GWSN,Taiwan,,F,,,,,,,,,,,
,Aurora,Yang Lan,양안,오로라,1997-01-14,NATURE,China,,F,,,,,,,,,,,
,Gaga,Li Jia Jia,리 지아 지아,가가,1999-09-01,,China,,F,,,,,,,,,,,
,Haru,Abe Haruno,아베 하루노,하루,2000-02-21,NATURE,Japan,,F,,,,,,,,,,,
Profile,Sakura,Miyawaki Sakura,미야와키 사쿠라,사쿠라,1998-03-19,LE SSERAFIM,Japan,,F,,,,,,,,,,,
Profile,Nako,Yabuki Nako,야부키 나코,나코,2001-06-18,IZ*ONE,Japan,,F,,,,,,,,,,,
Profile,Hitomi,Honda Hitomi,혼다 히토미,히토미,2001-10-06,IZ*ONE,Japan,,F,,,,,,,,,,,
Profile,Kokoro,Kato Kokoro,카토 코코로,코코로,2000-11-01,,Japan,,F,,,,,,,,,,,
Profile,Remi,Katsuno Rise,카츠노 리세,레미,2001-04-26,Cherry Bullet,Japan,,F,,,,,,,,,,,
Profile,May,Hirokawa Mao,히로카와 마오,메이,2004-11-16,Cherry Bullet,Japan,,F,,,,,,,,,,,
Profile,Lin Lin,Huang Ziting,황자정,린린,2003-07-05,,Taiwan,,F,,,,,,,,,,,
,Jacob,Zhang Peng,장펑,제이콥,1996-09-07,VAV,China,,M,,,,,,,,,,,
Profile,Hueningkai,Kai Kamal Huening,카이 카말 휴닝,휴닝카이,2002-08-14,TXT,USA,South Korea,M,,,,,,,,,,,
Profile,Yiren,Wang Yiren,왕이런,이런,2000-12-29,Everglow,China,,F,,,,,,,,,,,
,Loudi,Won Jihoon,원지훈,로우디,1996-04-13,14U,Indonesia,"South Korea, China",M,,,,,,,,,,,
,Yoshi,Kanemoto Yoshinori,카네모토 요시노리,요시,2000-05-15,Treasure,Japan,,M,,,,,,,,,,,
,Mashiho,Takata Mashiho,타카타 마시호,마시호,2001-03-25,Treasure,Japan,,M,,,,,,,,,,,
,Asahi,Hanada Asahi,하나다 아사히,아사히,2001-08-20,Treasure,Japan,,M,,,,,,,,,,,
,Haruto,Watanabe Haruto,와타나베 하루토,하루토,2004-04-05,Treasure,Japan,,M,,,,,,,,,,,
,Isaac,Voo Isaak,부 아이젝,아이젝,1994-12-12,IN2IT,Malaysia,,M,,,,,,,,,,,
,Yixuan,Zhou Yixuan,조이쉔,이쉔,1990-12-11,UNIQ,China,,M,,,,,,,,,,,
,Wenhan,Li Wenhan,리원한,원한,1994-07-22,UNIQ,China,,M,,,,,,,,,,,
,Yibo,Wang Yibo,왕이보,이보,1997-08-05,UNIQ,China,,M,,,,,,,,,,,
,Juri,Takahashi Juri,타카하시 쥬리,쥬리,1997-10-03,Rocket Punch,Japan,,F,,,,,,,,,,,
,Sika,Ren Shika,렌 시카,시카,1995-08-22,,China,,F,,,,,,,,,,,
,Chiayi,Li Chiayi,지아이,지아이,2000-01-22,FANATICS,Taiwan,,F,,,,,,,,,,,
,AleXa,Kim Seri,김세리,알렉사,1996-12-06,,USA,,F,,,,,,,,,,,
,Allen,Allen Ma,앨런 마,앨런,1999-04-26,CRAVITY,USA,South Korea,M,,,,,,,,,,,
,Sora,Sakata Sora,사카타 소라,소라,2003-08-30,woo!ah!,Japan,,F,,,,,,,,,,,
Profile,Lea,Ogawa Mizuki,오가와 미즈키,레아,1995-08-12,SECRET NUMBER,Japan,,F,,,,,,,,,,,
,Dita,Dita Karang,디타 가랑,디타,1996-12-25,SECRET NUMBER,Indonesia,,F,,,,,,,,,,,
,Yuki,Mori Koyuki,모리 코유키,유키,2002-11-06,Purple Kiss,Japan,,F,,,,,,,,,,,
,Alex,Alexander Schmidt Lee,알렉산더 슈미트 리,알렉스,2004-10-06,DRIPPIN,Germany,South Korea,M,,,,,,,,,,,
,Prince,Pasidh Vataniyapromote,파싯 와타니야쁘라못,프린스,2003-01-10,Ghost9,Thailand,,M,,,,,,,,,,,
Profile,Keeho,Yoon Kiho,윤기호,기호,2001-09-27,P1Harmony,Canada,,M,,,,,,,,,,,
Profile,Soul,Haku Shota,하쿠 쇼타,소울,2005-02-01,P1Harmony,Japan,,M,,,,,,,,,,,
Profile,Ni-Ki,Nishimura Riki,니시무라 리키,니키,2005-12-09,ENHYPEN,Japan,,M,,,,,,,,,,,
,Yuku,Amanumu Yuku,아마누마 유쿠,유쿠,2002-05-12,DKB,Japan,,M,,,,,,,,,,,
,Sang,Cui Xiang,최상,상,1995-01-26,Clear:I,China,,F,,,,,,,,,,,
,Ria,Kuwayama Ria,쿠와야마 리아,리아,1998-02-03,BOTOPASS,Japan,,F,,,,,,,,,,,
,Yuuri,Tokunaga Yuuri,도쿠나가 유우리,유우리,2001-05-16,LUNARSOLAR,Japan,,F,,,,,,,,,,,
Profile,Giselle,Uchinaga Aeri,우치나가 애리,지젤,2000-10-30,aespa,Japan,,F,,,,,,,,,,,
Profile,Ningning,Ning Yizhuo,닝이쭤,닝닝,2002-10-23,aespa,China,,F,,,,,,,,,,,
,Ayamy,Suzuki Ayami,스즈키 아야미,아야미,2000-07-15,Bling Bling,Japan,,F,,,,,,,,,,,
,Marin,Yasufuku Marin,야스후쿠 마린,마린,2001-03-17,Bling Bling,Japan,,F,,,,,,,,,,,
,Shotaro,Osaki Shotaro,오사키 쇼타로,쇼타로,2000-11-25,RIIZE,Japan,,M,,,,,,,,,,,
,Kelly,Lin Kelly,린 켈리,켈리,2002-01-16,TRI.BE,Taiwan,,F,,,,,,,,,,,
,Jia,Guo Jiajia,궈 지아지아,지아,2005-07-30,TRI.BE,China,,F,,,,,,,,,,,
,Mire,Su Mire,수미레,미레,2006-03-26,TRI.BE,Japan,,F,,,,,,,,,,,
,Leo,Hayase Leo,하야세 레오,레오,2002-10-08,T1419,Japan,,M,,,,,,,,,,,
,Zero,Nasukawa Shota,나스카와 쇼타,제로,2003-01-20,T1419,Japan,,M,,,,,,,,,,,
,Kairi,Imai Kairi,이마이 카이리,카이리,2003-02-24,T1419,Japan,,M,,,,,,,,,,,
Profile,Hina,Nagai Hina,나가이 히나,히나,2003-04-07,LIGHTSUM,Japan,,F,,,,,,,,,,,
,Keita,Terazono Keita,테라조노 케이타,케이타,2001-07-04,Ciipher,Japan,,M,,,,,,,,,,,
,Lien,Shimada Sho,시마다 쇼,리안,1998-03-11,Mirae,Japan,,M,,,,,,,,,,,
,Mayna,Simone Shaoxi Mengna,시몬느 샤오시 멍나,메이나,2000-05-12,HOT ISSUE,China,Romania,F,,,,,,,,,,,
,Momoka,Matsuda Momoka,마쓰다 모모카,모모카,2000-12-26,Pink Fantasy,Japan,,F,,,,,,,,,,,
,Miku,Katae Miku,카타에 미쿠,미쿠,2002-10-09,Pink Fantasy,Japan,,F,,,,,,,,,,,
,Mint,Kunpat Phonpawiworakun,쿤팟 퍼언빠위워라쿤,민트,1994-06-23,Tiny-G,Thailand,,F,,,,,,,,,,,
,Andy,Lui Chunyeung,루이쯔양,앤디,1994-10-06,7 O'clock,Hong Kong,,M,,,,,,,,,,,
Profile,Jackie,Kang Chaeyeon,강채연,재키,2001-11-17,ICHILLIN',USA,South Korea,F,,,,,,,,,,,
Profile,Joonie,Park Junhee,박준희,주니,2002-05-24,ICHILLIN',USA,South Korea,F,,,,,,,,,,,
,Yoona,Ogura Yuuna,오구라 유우나,유우나,2000-10-13,bugAboo,Japan,,F,,,,,,,,,,,
,Rainie,Chu Chingyu,주칭위,레이니,2000-11-16,PRIMROSE,Taiwan,,F,,,,,,,,,,,
,Tsuki,Fukutomi Tsuki,후쿠토미 츠키,츠키,2002-09-21,Billlie,Japan,,F,,,,,,,,,,,
,Haruna,Osato Haruna,오사토 하루나,하루나,2006-01-30,Billlie,Japan,,F,,,,,,,,,,,
,Fatou,Fatou Samba,파투 삼바,파투,1995-03-23,Blackswan,Belgium,Senegal,F,,,,,,,,,,,
,Leia,Larissa Kartes,라리사 카르치스,레아,2001-05-14,Blackswan,Brazil,Japan,F,,,,,,,,,,,
,Mashiro,Sakamoto Mashiro,사카모토 마시로,마시로,1999-12-16,Madein,Japan,,F,,,,,,,,,,,
,Hikaru,Ezaki Hikaru,에자키 히카루,히카루,2004-03-12,Kep1er,Japan,,F,,,,,,,,,,,
,Bahiyyih,Huening Bahiyyih,휴닝바히에,바히에,2004-07-27,Kep1er,USA,South Korea,F,,,,,,,,,,,
Profile,XiaoTing,Shen Xiao Ting,션샤오팅,샤오팅,1999-11-12,Kep1er,China,,F,,,,,,,,,,,
Profile,Rei,Naoi Rei,나오이 레이,레이,2004-02-03,IVE,Japan,,F,,,,,,,,,,,
,Sitala,Sitala Wongkrachang,시탈라 웡크라창,시탈라,1996-04-23,,Thailand,,F,,,,,,,,,,,
,Hanbin,Ngo Ngoc Hung,응오 응옥 흥,한빈,1998-01-19,TEMPEST,Vietnam,,M,,,,,,,,,,,
,Hana,Hayase Hana,하야세 하나,하나,2000-02-27,ILY:1,Japan,,F,,,,,,,,,,,
,Rona,Chang Ching,장찡,로나,2002-06-05,ILY:1,Taiwan,,F,,,,,,,,,,,
,Ririka,Kishida Ririka,키시다 리리카,리리카,2002-07-02,ILY:1,Japan,,F,,,,,,,,,,,
Profile,Lily,Lily Jin Morrow,릴리 진 머로우,릴리,2002-10-17,NMIXX,Australia,South Korea,F,,,,,,,,,,,
,Mikey,Morisaki Daisuke,모리사키 다이스케,마이키,2001-05-05,BLANK2Y,Japan,,M,,,,,,,,,,,
,U,Sun Hengyu,쑨헝위,유,2001-06-22,BLANK2Y,China,,M,,,,,,,,,,,
,Winnie,Pattipong Kasemsant,파티퐁 카셈산트,위니,1998-11-18,NINE.i,Thailand,,M,,,,,,,,,,,
Profile,Kazuha,Nakamura Kazuha,나카무라 카즈하,카즈하,2003-08-09,LE SSERAFIM,Japan,,F,,,,,,,,,,,
,Chanty,Maria Chantal Videla,마리아 샹탈 비델라,샨티,2002-12-15,Lapillus,Philippines,Argentina,F,,,,,,,,,,,
,Shana,Nonaka Shana,노나카 샤나,샤나,2003-03-13,Lapillus,Japan,,F,,,,,,,,,,,
,Yue,Nancy Yang,낸시 양,유에,2004-07-03,Lapillus,USA,China,F,,,,,,,,,,,
Profile,Hanni,Pham Ngoc Han,팜응옥헌,하니,2004-10-06,NewJeans,Vietnam,,F,,,,,,,,,,,
,MiU,Ito Miyu,이토 미유,미유,2003-01-09,Madein,Japan,,F,,,,,,,,,,,
Profile,Yuna,Iimura Yuna,이이무라 유나,유나,2005-04-23,CSR,Japan,,F,,,,,,,,,,,
Profile,Ruka,Kawai Ruka,카와이 루카,루카,2002-03-20,BABYMONSTER,Japan,,F,,,,,,,,,,,
Profile,Pharita,Pharita Chaikong,파리따 차이콩,파리타,2005-08-26,BABYMONSTER,Thailand,,F,,,,,,,,,,,
Profile,Asa,Enami Asa,에나미 아사,아사,2006-04-17,BABYMONSTER,Japan,,F,,,,,,,,,,,
Profile,Chiquita,Riracha Phondechaphiphat,리라차 폰데차피팟,치키타,2009-02-17,BABYMONSTER,Thailand,,F,,,,,,,,,,,
,Jaeyun,Moon Jaeyun,문재윤,재윤,2002-07-02,8TURN,New Zealand,South Korea,M,,,,,,,,,,,
,Kaede,Yamada Kaede,야마다 카에데,카에데,2005-12-20,tripleS,Japan,,F,,,,,,,,,,,
,Kotone,Kamimoto Kotone,카미모토 코토네,코토네,2004-03-10,tripleS,Japan,,F,,,,,,,,,,,
,Hari,,,하리,2005-04-08,Girls' World,Japan,,F,,,,,,,,,,,
,Nina,Nina Nadia Mateer,니나 나디아 마티어,니나,2003-03-15,IRRIS,Australia,South Korea,F,,,,,,,,,,,
,Shita,Chae Gaho,채가호,시타,1998-10-01,JWiiver,Macau,,M,,,,,,,,,,,
,Raots,Ren Yuchen,런위천,라오츠,2000-03-01,JWiiver,China,,M,,,,,,,,,,,
,Hunter,Papungkorn Lertkiatdamrong,빠팡콘 륵키앗둠롱,헌터,2005-10-05,xikers,Thailand,,M,,,,,,,,,,,
Profile,E.sha,Kwon Yena,권예나,이샤,1998-12-29,X:IN,Australia,South Korea,F,,,,,,,,,,,
Profile,Nova,Maria Pavlovna Emelyanova,마리아 파블로브나 에멜야노바,노바,2002-10-10,X:IN,Russia,,F,,,,,,,,,,,
Profile,Aria,Baby Gauthami,베이비 고타미,아리아,2003-03-12,X:IN,India,,F,,,,,,,,,,,
Profile,Ricky,Shen Quanrui,션취안루이,리키,2004-05-20,ZEROBASEONE,China,,M,,,,,,,,,,,
Profile,Matthew,Seok Matthew,석매튜,매튜,2002-05-28,ZEROBASEONE,Canada,South Korea,M,,,,,,,,,,,
Profile,Zhang Hao,Zhang Hao,장하오,장하오,2000-07-25,ZEROBASEONE,China,,M,,,,,,,,,,,
,Natty,Ahnatchaya Suputhipong,아낫차야 수푸티퐁,나띠,2002-05-30,KISS OF LIFE,Thailand,,F,,,,,,,,,,,
,Zayyan,Muhammad Rifki Fahri Zayyan,무하마드 리프키 파흐리 자얀,자얀,2000-02-23,XODIAC,Indonesia,,M,,,,,,,,,,,
,Sing,Mak Chun Sing,막준씽,씽,2002-01-11,XODIAC,Hong Kong,,M,,,,,,,,,,,
,Leo,,,리오,2002-06-15,XODIAC,Hong Kong,,M,,,,,,,,,,,
,Nvee,Florence Alena Smith,플로렌스 알레나 스미스,앤비,1999-01-10,Blackswan,USA,,F,,,,,,,,,,,
,Gabi,Gabriela Strassburger Dalcin,가브리엘라 스트라스부르거 달신,가비,2002-11-07,Blackswan,Brazil,Germany,F,,,,,,,,,,,
,Sriya,Sriya Lenka,스리야 렌카,스리야,2003-09-15,Blackswan,India,,F,,,,,,,,,,,
,Hanjin,Han Zhen,한쩐,한진,2006-01-05,TWS,China,,M,,,,,,,,,,,
,Nien,Hsu Nien Tsu,쉬니엔츠,니엔,2003-06-02,tripleS,Taiwan,Vietnam,F,,,,,,,,,,,
,Xinyu,Zhou Xinyu,저우신위,신위,2001-05-25,tripleS,China,,F,,,,,,,,,,,
,Mayu,Kouma Mayu,코우마 마유,마유,2001-05-12,tripleS,Japan,,F,,,,,,,,,,,
,Lynn,Kawakami Rin,카와카미 린,린,2006-04-12,tripleS,Japan,,F,,,,,,,,,,,
,Kamden,Kamden Winston Na,캠든 윈스턴 나,캠든,2001-06-09,AMPERS&ONE,USA,South Korea,M,,,,,,,,,,,
,Brian,Brian Ho,브라이언 호,브라이언,2002-08-27,AMPERS&ONE,Canada,China,M,,,,,,,,,,,
,Kyrell,Kyrell Choi,카이렐 초이,카이렐,2005-07-03,AMPERS&ONE,USA,South Korea,M,,,,,,,,,,,
,Mackiyah,Mackiah Yejun Mercer,마카야 예준 머서,마카야,2006-01-21,AMPERS&ONE,Australia,South Korea,M,,,,,,,,,,,
,K-Soul,Liu Zekai,류저카이,소울,2000-10-19,FANTASY BOYS,China,,M,,,,,,,,,,,
,Hikari,Etani Hikari,에타니 히카리,히카리,2002-01-21,FANTASY BOYS,Japan,,M,,,,,,,,,,,
,Ling Qi,Ling Qi,링치,링치,2002-06-04,FANTASY BOYS,China,,M,,,,,,,,,,,
,Hikaru,Urabe Hikaru,우라베 히카루,히카루,2003-07-14,FANTASY BOYS,Japan,,M,,,,,,,,,,,
,Anton,Anton Chanyoung Lee,앤톤 찬영 리,앤톤,2004-03-21,RIIZE,USA,South Korea,M,,,,,,,,,,,
,Seita,,,세이타,2003-02-21,DXMON,Japan,,M,,,,,,,,,,,
,Jay Chang,Jay Steven Kapossy,제이 스티븐 커포시,제이창,2001-03-08,ONE PACT,USA,,M,,,,,,,,,,,
,Yorch,Yongsin Wongpanitnont,용신 웡파닛논,요치,2002-04-11,POW,Thailand,,M,,,,,,,,,,,
,Dongyeon,Justin Lajo,저스틴 라조,동연,2003-09-26,POW,Philippines,South Korea,M,,,,,,,,,,,
,Zoe,Choi Hayoung,최하영,조에,2002-04-12,Geenius,Italia,South Korea,F,,,,,,,,,,,
,Moka,Sakai Moka,사카이 모카,모카,2004-10-08,ILLIT,Japan,,F,,,,,,,,,,,
,Iroha,Hokazuno Iroha,호카조노 이로하,이로하,2008-02-04,ILLIT,Japan,,F,,,,,,,,,,,
,Minami,Ito Minami,이토 미나미,미나미,2006-11-29,RESCENE,Japan,,F,,,,,,,,,,,
,Nana,Ezumi Nana,에즈미 나나,나나,2007-06-06,UNIS,Japan,,F,,,,,,,,,,,
,Gehlee,Gehlee Dangca,젤리 당카,젤리,2007-08-19,UNIS,Philippines,,F,,,,,,,,,,,
,Kotoko,Fujiyosi Kotoko,후지요시 코토코,코토코,2007-10-28,UNIS,Japan,,F,,,,,,,,,,,
,Elisia,Elisia Lyrisse Parmisano,엘리시아 리리스 파르미사노,엘리시아,2009-04-18,UNIS,Philippines,,F,,,,,,,,,,,
,Nagomi,Abe Nagomi,아베 나고미,나고미,2007-07-02,Madein,Japan,,F,,,,,,,,,,,
,Serina,Saito Serina,사이토 세리나,세리나,2006-05-03,Madein,Japan,,F,,,,,,,,,,,
,Carmen,Nyoman Ayu Carmenita,뇨만 아유 카르메니타,카르멘,2006-03-28,Hearts2Hearts,Indonesia,,F,,,,,,,,,,,
